source_page,asset_url,generated_at_utc
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/nbm/IMP_1991_NBM.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/nbm/IMP_1992_NBM.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/nbm/IMP_1993_NBM.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/nbm/IMP_1994_NBM.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/nbm/IMP_1995_NBM.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/nbm/IMP_1996_NBM.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/ncm/EXP_1997.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/ncm/EXP_1998.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/ncm/EXP_1999.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/ncm/EXP_2000.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/ncm/EXP_2001.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/ncm/EXP_2002.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/ncm/EXP_2003.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/ncm/EXP_2004.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/ncm/EXP_2005.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/ncm/EXP_2006.csv,2026-05-14T01:33:44.444273+00:00
https://www.gov.br/mdic/pt-br/assuntos/comercio-exterior/estatisticas/base-de-dados-bruta,https://balanca.economia.gov.br/balanca/bd/comexstat-bd/ncm/EXP_2007.csv,2026-05-14T01:33:44.444273+00:00
